# Startup Founders & CEOs
# Total: 87

Name                           Position                                           Company                                  URL
PRAKASH AGRAWAL                Founder and CEO                                    Virtual CFO                              https://www.linkedin.com/in/prakash-agrawal
Paresh Masani                  Founder & CEO                                      Helius Wellness                          https://www.linkedin.com/in/pareshmasani
Paul Redman                    Co-Founder & Director                              Techfellow Limited                       https://www.linkedin.com/in/pauljredman
Pierre-Michel Bret             CEO                                                Akwatype                                 https://www.linkedin.com/in/pierre-michel-bret
Piotr Stawinski                Vice President & exited Co-Founder | Sales | Partn Empirica Sp. z o.o.                      https://www.linkedin.com/in/stawinskipiotr
Prabal Banerjee                Co-Founder                                         Avail                                    https://www.linkedin.com/in/prabal-banerjee
Prasanth Kalangi               Founder & CEO                                      Zoniqx                                   https://www.linkedin.com/in/kalangi
Pravin Raj                     Founder & Lead Developer                           Justtry Technologies                     https://www.linkedin.com/in/pravin-raj-dev
Preetam Rao                    CEO & Co-Founder                                   QuillAudits                              https://www.linkedin.com/in/raopreetam
Ram Tavva                      Chief Executive Officer                            ExcelR Solutions                         https://www.linkedin.com/in/ram-tavva
Ramesh Mantripragada           CTO - PayU Finance                                 PayU Finance                             https://www.linkedin.com/in/rameshma19
Rohit Shetty                   Co-Founder                                         beneathAtree                             https://www.linkedin.com/in/rohitshetty00
SHREYASH KUMAR TIWARI          Founder                                            ECOPULSE ORGANIC                         https://www.linkedin.com/in/shreyashkumartiwari
Sadia S                        Chief Executive Officer                            PROFX MEDIA 🥇 We are now Official GUINNE https://www.linkedin.com/in/sadia-s-a9b8551a0
Sai Kalaga                     Chief Architect                                    ACI Worldwide                            https://www.linkedin.com/in/saikalaga
Sana Mujawar                   Founder                                            Quick Research Pro                       https://www.linkedin.com/in/sana-mujawar-4374391b7
Sartaj Singh Ahuja             Founder and CEO                                    Narra8ive                                https://www.linkedin.com/in/sartaj-singh-ahuja-716b3a6a
Sathesh P C                    Co-Founder & Chief Executive Officer               Expertisor Academy                       https://www.linkedin.com/in/satheshpc
Seshu Karthick T               Chief Operating Officer, Director                  CANIT Solutions                          https://www.linkedin.com/in/seshukarthick
Sharan Varma                   Generalist Entrepreneur                            YE Stack                                 https://www.linkedin.com/in/sharanvarma
Sharat Chandra                 Founder                                            EmpowerEdge Ventures                     https://www.linkedin.com/in/sharatchandratechevangelist
Sharvari Patil                 Co-Founder & CTO                                   MacroCosmos Creations                    https://www.linkedin.com/in/sharvari-patil-0105
Sivakumar G                    Founder & CEO                                      AEITY                                    https://www.linkedin.com/in/sivakumarg-aeity
Sri Ram                        Chief Marketing Officer                            Beleaf Technologies                      https://www.linkedin.com/in/sri-ram-15035a235
Srinivas Varadarajan           CEO, Co-Founder                                    Vigyanlabs Innovations Private Limited   https://www.linkedin.com/in/srini-vipl
Srivatsa Krishnaswamy          Co-Founder                                         Vigyanlabs Innovations Private Limited   https://www.linkedin.com/in/srivatsa-krishnaswamy-1018b83
Subramaniam Iyer               Founder                                            Round Hole Square Peg                    https://www.linkedin.com/in/thesubuiyer
Suraj Chawla                   Founder & CEO                                      GPUNET                                   https://www.linkedin.com/in/ssurajchawla
Tarun Sharma                   Co-Founder | Applied AI & ML Systems               Tyloones Software Private Limited        https://www.linkedin.com/in/tarun-sharma-685a04148
Tim Hartill                    Founder                                            Neuralition Ltd                          https://www.linkedin.com/in/tim-hartill-2355a
Timothée Delabrouille          Founder                                            Paynet                                   https://www.linkedin.com/in/timotheedelabrouille
V. Guru Charan                 Chief Artificial Intelligence Officer              Collaborative Dynamics Inc               https://www.linkedin.com/in/vgurucharan
Yip Thy Diep Ta                Founder & Chief Executive Officer                  J3D.AI (Jedi)                            https://www.linkedin.com/in/beautifulbrains
maxwell flitton                Chief Technology Officer                           kioko                                    https://www.linkedin.com/in/maxwell-flitton-9446a7119
sUdhindra Subbarao             Co-Founder                                         SafeCloak                                https://www.linkedin.com/in/sudhindra-subbarao
